Day,Area,Price/Block,Band,Demand,Excess Demand,Provisional Price,Price Increment Applicable,Price,lat,long
1,Andhra Pradesh,292.5,800,0,-5,0,0,234,16,80
1,Assam,35,800,8,-3,35,0,28,26.2006043,92.9375739
1,Bihar,106.25,800,0,-4,0,0,85,25.11,85.32
1,Delhi,771.25,800,0,-3,0,0,617,28.38,77.12
1,Gujarat,343.75,800,0,-2,0,0,275,23,72
1,Haryana,47.5,800,4,-2,47.5,0,38,29.3,76
1,Himachal Pradesh,23.75,800,4,-3,23.75,0,19,31.79,77.1
1,Kashmir,35,800,4,-3,35,0,28,33.94,76.54
1,Karnataka,378.75,800,0,-1,0,0,303,15,75
1,Kolkata,183.75,800,0,-1,0,0,147,22.56263,88.36304
1,Madhya Pradesh,131.85,800,4,-1,124.29,0,105.48,23.3,80
1,Maharashtra,427.98,800,0,-3,427.98,0,342.384,20,76
1,Mumbai,548.75,800,4,-2,548.75,0,439,19.07283,72.88261
1,North East,13.75,800,8,-3,13.75,0,11,28,95
1,Odisha,47.5,800,4,-2,47.5,0,38,26,94.2
1,Punjab,106.25,800,0,-3,0,0,85,30.8,75.5
1,Tamil Nadu,450,800,0,-1,0,0,360,11,78
1,Uttar Pradesh E,167.5,800,0,-3,0,0,134,26,82
1,Uttar Pradesh W,118.75,800,0,-1,0,0,95,28,80
1,West Bengal,71.25,800,0,-1,0,0,57,23,87
1,Andhra Pradesh,144.31,900,50,-20,126.07,0,721.55,16,80
1,Assam,18.34,900,6,-25,17.13,0,91.7,26.2006043,92.9375739
1,Bihar,53.77,900,31,0,42.24,0.42,268.85,25.11,85.32
1,Gujarat,119.68,900,63,-7,119.68,0,598.4,23,72
1,Haryana,19.52,900,50,-12,16.91,0,97.6,29.3,76
1,Himachal Pradesh,9.47,900,92,30,8.44,0.5,47.35,31.79,77.1
1,Karnataka,90.9,900,25,-45,80.85,0,454.5,15,75
1,Kerala,42.79,900,50,-12,37.04,0,213.95,10,76.25
1,Madhya Pradesh,47.16,900,50,-12,44.04,0,235.8,23.3,80
1,Maharashtra,151.56,900,60,-10,137.53,0,757.8,20,76
1,North East,5.85,900,0,-44,5.85,0,29.25,28,95
1,Odisha,24.02,900,62,31,20.98,1.46,120.1,26,94.2
1,Punjab,66.11,900,103,25,44.64,2.23,330.55,30.8,75.5
1,Rajasthan,65.13,900,62,0,47.87,0.47,325.65,27,74
1,Uttar Pradesh E,58.65,900,50,19,58.65,2.34,293.25,26,82
1,Uttar Pradesh W,54.74,900,137,106,54.74,5.47,273.7,28,80
1,West Bengal,22.64,900,0,-22,22.42,0,113.2,23,87
1,Andhra Pradesh,39.15,1800,35,16,36.55,1.46,195.75,16,80
1,Bihar,12.4,1800,0,-10,0,0,62,25.11,85.32
1,Gujarat,47.6,1800,0,-17,0,0,238,23,72
1,Haryana,6.4,1800,27,-13,6.4,0,32,29.3,76
1,Himachal Pradesh,1.8,1800,22,-29,1.8,0,9,31.79,77.1
1,Karnataka,37,1800,8,-1,37,0,185,15,75
1,Kerala,15,1800,0,-5,0,0,75,10,76.25
1,Kolkata,14.74,1800,0,-35,14.6,0,73.7,22.56263,88.36304
1,North East,2.2,1800,0,-42,0,0,11,28,95
1,Odisha,4.6,1800,25,-56,4.6,0,23,26,94.2
1,Punjab,14.34,1800,0,-8,14.2,0,71.7,30.8,75.5
1,Rajasthan,12,1800,0,-52,0,0,60,27,74
1,Tamil Nadu,45,1800,25,-70,45,0,225,11,78
1,Uttar Pradesh E,19.4,1800,0,-21,0,0,97,26,82
1,Uttar Pradesh W,19,1800,0,-11,0,0,95,28,80
1,Andhra Pradesh,1375,2100,0,-1,0,0,275,16,80
1,Assam,164.82,2100,1,0,156.85,1.56,32.964,26.2006043,92.9375739
1,Delhi,3315,2100,0,-1,0,0,663,28.38,77.12
1,Gujarat,1302.9,2100,0,-1,1290,0,260.58,23,72
1,Haryana,232.3,2100,0,-1,230,0,46.46,29.3,76
1,Karnataka,1610,2100,0,-1,0,0,322,15,75
1,Kerala,594.45,2100,0,-1,588.57,0,118.89,10,76.25
1,Kolkata,583.74,2100,0,-1,577.97,0,116.748,22.56263,88.36304
1,Madhya Pradesh,461.31,2100,0,-1,456.75,0,92.262,23.3,80
1,Maharashtra,1520.05,2100,0,-1,1505,0,304.01,20,76
1,Mumbai,3245,2100,0,-1,0,0,649,19.07283,72.88261
1,North East,45.45,2100,1,0,43.26,0.43,9.09,29,95
1,Odisha,182.06,2100,1,0,180.26,1.8,36.412,26,94.2
1,Rajasthan,509.06,2100,1,0,465.92,4.65,101.812,27,74
1,Tamil Nadu,1737.2,2100,0,-1,1720,0,347.44,11,78
1,Uttar Pradesh E,456.01,2100,0,-1,451.5,0,91.202,26,82
1,Uttar Pradesh W,520.15,2100,0,-1,515,0,104.03,28,80
2,Andhra Pradesh,292.5,800,0,-5,0,0,234,16,80
2,Assam,35,800,8,-3,35,0,28,26.2006043,92.9375739
2,Bihar,106.25,800,0,-4,0,0,85,25.11,85.32
2,Delhi,771.25,800,0,-3,0,0,617,28.38,77.12
2,Gujarat,343.75,800,0,-2,0,0,275,23,72
2,Haryana,47.5,800,4,-2,47.5,0,38,29.3,76
2,Himachal Pradesh,23.75,800,4,-3,23.75,0,19,31.79,77.1
2,Kashmir,35,800,4,-3,35,0,28,33.94,76.54
2,Karnataka,378.75,800,0,-1,0,0,303,15,75
2,Kolkata,183.75,800,0,-1,0,0,147,22.56263,88.36304
2,Madhya Pradesh,131.85,800,8,3,131.85,3.95,105.48,23.3,80
2,Maharashtra,427.98,800,0,-3,423.75,0,342.384,20,76
2,Mumbai,548.75,800,4,-2,548.75,0,439,19.07283,72.88261
2,North East,13.75,800,8,-3,13.75,0,11,28,95
2,Odisha,47.5,800,4,-2,47.5,0,38,26,94.2
2,Punjab,106.25,800,0,-3,0,0,85,30.8,75.5
2,Tamil Nadu,450,800,0,-1,0,0,360,11,78
2,Uttar Pradesh E,167.5,800,0,-3,0,0,134,26,82
2,Uttar Pradesh W,118.75,800,0,-1,0,0,95,28,80
2,West Bengal,71.25,800,0,-1,0,0,57,23,87
2,Andhra Pradesh,144.31,900,25,-45,136.15,0,721.55,16,80
2,Assam,18.34,900,6,-25,17.99,0,91.7,26.2006043,92.9375739
2,Bihar,53.77,900,81,50,53.77,5.37,268.85,25.11,85.32
2,Gujarat,119.68,900,88,18,119.68,4.78,598.4,23,72
2,Haryana,19.52,900,75,13,19.52,0.58,97.6,29.3,76
2,Himachal Pradesh,9.47,900,61,-1,9.47,0,47.35,31.79,77.1
2,Karnataka,90.9,900,50,-20,90.9,0,454.5,15,75
2,Kerala,42.79,900,106,44,42.79,3.85,213.95,10,76.25
2,Madhya Pradesh,47.16,900,25,-37,46.7,0,235.8,23.3,80
2,Maharashtra,151.56,900,25,-45,141.65,0,757.8,20,76
2,North East,5.85,900,0,-44,5.8,0,29.25,28,95
2,Odisha,24.02,900,25,-6,24.02,0,120.1,26,94.2
2,Punjab,66.11,900,77,-1,66.11,0,330.55,30.8,75.5
2,Rajasthan,65.13,900,102,40,65.13,5.21,325.65,27,74
2,Uttar Pradesh E,62.82,900,62,31,62.82,4.39,314.1,26,82
2,Uttar Pradesh W,88.14,900,61,30,88.14,5.28,440.7,28,80
2,West Bengal,22.64,900,22,0,22.64,0.22,113.2,23,87
2,Andhra Pradesh,39.15,1800,16,-3,38.01,0,195.75,16,80
2,Bihar,12.4,1800,0,-10,0,0,62,25.11,85.32
2,Gujarat,47.6,1800,0,-17,0,0,238,23,72
2,Haryana,6.4,1800,27,-13,6.4,0,32,29.3,76
2,Himachal Pradesh,1.8,1800,22,-29,1.8,0,9,31.79,77.1
2,Karnataka,37,1800,8,-1,37,0,185,15,75
2,Kerala,15,1800,0,-5,0,0,75,10,76.25
2,Kolkata,14.74,1800,0,-35,14.6,0,73.7,22.56263,88.36304
2,North East,2.2,1800,0,-42,0,0,11,28,95
2,Odisha,4.6,1800,50,-31,4.6,0,23,26,94.2
2,Punjab,14.34,1800,0,-8,14.2,0,71.7,30.8,75.5
2,Rajasthan,12,1800,0,-52,0,0,60,27,74
2,Tamil Nadu,45,1800,25,-70,45,0,225,11,78
2,Uttar Pradesh E,19.4,1800,0,-21,0,0,97,26,82
2,Uttar Pradesh W,19,1800,0,-11,0,0,95,28,80
2,Andhra Pradesh,1375,2100,0,-1,0,0,275,16,80
2,Assam,164.82,2100,1,0,164.82,1.64,32.964,26.2006043,92.9375739
2,Delhi,3315,2100,0,-1,0,0,663,28.38,77.12
2,Gujarat,1302.9,2100,0,-1,1290,0,260.58,23,72
2,Haryana,232.3,2100,0,-1,230,0,46.46,29.3,76
2,Karnataka,1610,2100,0,-1,0,0,322,15,75
2,Kerala,594.45,2100,0,-1,588.57,0,118.89,10,76.25
2,Kolkata,583.74,2100,0,-1,577.97,0,116.748,22.56263,88.36304
2,Madhya Pradesh,461.31,2100,0,-1,456.75,0,92.262,23.3,80
2,Maharashtra,1520.05,2100,0,-1,1505,0,304.01,20,76
2,Mumbai,3245,2100,0,-1,0,0,649,19.07283,72.88261
2,North East,45.45,2100,1,0,45.45,0.45,9.09,29,95
2,Odisha,182.06,2100,0,-1,180.26,0,36.412,26,94.2
2,Rajasthan,509.06,2100,1,0,509.06,5.09,101.812,27,74
2,Tamil Nadu,1737.2,2100,0,-1,1720,0,347.44,11,78
2,Uttar Pradesh E,456.01,2100,0,-1,451.5,0,91.202,26,82
2,Uttar Pradesh W,520.15,2100,0,-1,515,0,104.03,28,80
3,Andhra Pradesh,292.5,800,7,2,292.5,5.85,234,16,80
3,Assam,35.35,800,4,-7,35,0,28.28,26.2006043,92.9375739
3,Bihar,106.25,800,0,-4,0,0,85,25.11,85.32
3,Delhi,771.25,800,0,-3,0,0,617,28.38,77.12
3,Gujarat,343.75,800,0,-2,0,0,275,23,72
3,Haryana,47.5,800,10,4,47.5,1.9,38,29.3,76
3,Himachal Pradesh,23.75,800,4,-3,23.75,0,19,31.79,77.1
3,Kashmir,35,800,8,1,35,0.35,28,33.94,76.54
3,Karnataka,378.75,800,0,-1,0,0,303,15,75
3,Kolkata,183.75,800,0,-1,0,0,147,22.56263,88.36304
3,Madhya Pradesh,154.14,800,4,-1,154.14,0,123.312,23.3,80
3,Maharashtra,432.25,800,0,-3,427.98,0,345.8,20,76
3,Mumbai,634.02,800,0,-6,576.39,0,507.216,19.07283,72.88261
3,North East,13.88,800,4,-7,13.75,0,11.104,28,95
3,Odisha,47.5,800,14,8,47.5,3.8,38,26,94.2
3,Punjab,106.25,800,0,-3,0,0,85,30.8,75.5
3,Tamil Nadu,450,800,0,-1,0,0,360,11,78
3,Uttar Pradesh E,167.5,800,0,-3,0,0,134,26,82
3,Uttar Pradesh W,118.75,800,0,-1,0,0,95,28,80
3,West Bengal,71.25,800,0,-1,0,0,57,23,87
3,Andhra Pradesh,144.31,900,45,-25,136.15,0,721.55,16,80
3,Assam,18.52,900,25,-6,18.34,0,92.6,26.2006043,92.9375739
3,Bihar,80.56,900,6,-25,76.73,0,402.8,25.11,85.32
3,Gujarat,129.43,900,88,18,129.43,5.17,647.15,23,72
3,Haryana,23.68,900,81,19,23.68,0.94,118.4,29.3,76
3,Himachal Pradesh,9.47,900,61,-1,9.47,0,47.35,31.79,77.1
3,Karnataka,105.19,900,100,30,105.19,6.31,525.95,15,75
3,Kerala,67.78,900,60,-2,67.78,0,338.9,10,76.25
3,Madhya Pradesh,53.06,900,75,13,53.06,1.59,265.3,23.3,80
3,Maharashtra,151.56,900,31,-39,141.65,0,757.8,20,76
3,North East,5.85,900,0,-44,5.8,0,29.25,28,95
3,Odisha,27.53,900,6,-25,26.48,0,137.65,26,94.2
3,Punjab,66.11,900,77,-1,66.11,0,330.55,30.8,75.5
3,Rajasthan,74.63,900,25,-37,73.9,0,373.15,27,74
3,Uttar Pradesh E,75.57,900,56,25,75.57,3.77,377.85,26,82
3,Uttar Pradesh W,99.02,900,25,-6,99.02,0,495.1,28,80
3,West Bengal,24,900,22,0,24,0.24,120,23,87
3,Andhra Pradesh,43.17,1800,16,-3,42.75,0,215.85,16,80
3,Bihar,12.4,1800,0,-10,0,0,62,25.11,85.32
3,Gujarat,47.6,1800,0,-17,0,0,238,23,72
3,Haryana,6.4,1800,27,-13,6.4,0,32,29.3,76
3,Himachal Pradesh,1.8,1800,22,-29,1.8,0,9,31.79,77.1
3,Karnataka,37,1800,8,-1,37,0,185,15,75
3,Kerala,15,1800,0,-5,0,0,75,10,76.25
3,Kolkata,15.03,1800,0,-35,14.74,0,75.15,22.56263,88.36304
3,North East,2.2,1800,0,-42,0,0,11,28,95
3,Odisha,4.6,1800,50,-31,4.6,0,23,26,94.2
3,Punjab,14.34,1800,0,-8,14.2,0,71.7,30.8,75.5
3,Rajasthan,12,1800,0,-52,0,0,60,27,74
3,Tamil Nadu,45,1800,50,-45,45,0,225,11,78
3,Uttar Pradesh E,19.4,1800,0,-21,0,0,97,26,82
3,Uttar Pradesh W,19,1800,0,-11,0,0,95,28,80
3,Andhra Pradesh,1375,2100,0,-1,0,0,275,16,80
3,Assam,168.12,2100,0,-1,166.46,0,33.624,26.2006043,92.9375739
3,Delhi,3315,2100,0,-1,0,0,663,28.38,77.12
3,Gujarat,1302.9,2100,0,-1,1290,0,260.58,23,72
3,Haryana,232.3,2100,0,-1,230,0,46.46,29.3,76
3,Karnataka,1610,2100,0,-1,0,0,322,15,75
3,Kerala,594.45,2100,0,-1,588.57,0,118.89,10,76.25
3,Kolkata,583.74,2100,0,-1,577.97,0,116.748,22.56263,88.36304
3,Madhya Pradesh,461.31,2100,0,-1,456.75,0,92.262,23.3,80
3,Maharashtra,1520.05,2100,0,-1,1505,0,304.01,20,76
3,Mumbai,3245,2100,0,-1,0,0,649,19.07283,72.88261
3,North East,48.21,2100,1,0,48.21,0.48,9.642,29,95
3,Odisha,182.06,2100,0,-1,180.26,0,36.412,26,94.2
3,Rajasthan,540.36,2100,1,0,540.36,5.4,108.072,27,74
3,Tamil Nadu,1737.2,2100,0,-1,1720,0,347.44,11,78
3,Uttar Pradesh E,456.01,2100,0,-1,451.5,0,91.202,26,82
3,Uttar Pradesh W,520.15,2100,0,-1,515,0,104.03,28,80
4,Andhra Pradesh,335.19,800,4,-1,325.43,0,268.152,16,80
4,Assam,35.35,800,12,1,35.35,0.35,28.28,26.2006043,92.9375739
4,Bihar,106.25,800,0,-4,0,0,85,25.11,85.32
4,Delhi,778.96,800,0,-3,771.25,0,623.168,28.38,77.12
4,Gujarat,343.75,800,3,1,343.75,3.43,275,23,72
4,Haryana,49.89,800,5,-1,49.4,0,39.912,29.3,76
4,Himachal Pradesh,24.46,800,6,-1,24.46,0,19.568,31.79,77.1
4,Kashmir,36.05,800,2,-5,35.35,0,28.84,33.94,76.54
4,Karnataka,378.75,800,0,-1,0,0,303,15,75
4,Kolkata,183.75,800,0,-1,0,0,147,22.56263,88.36304
4,Madhya Pradesh,171.46,800,4,-1,171.46,0,137.168,23.3,80
4,Maharashtra,440.89,800,3,0,440.89,4.4,352.712,20,76
4,Mumbai,691.08,800,4,-2,691.08,0,552.864,19.07283,72.88261
4,North East,13.88,800,12,1,13.88,0.13,11.104,28,95
4,Odisha,51.3,800,11,5,51.3,2.56,41.04,26,94.2
4,Punjab,106.25,800,4,1,106.25,1.06,85,30.8,75.5
4,Tamil Nadu,450,800,0,-1,0,0,360,11,78
4,Uttar Pradesh E,167.5,800,0,-3,0,0,134,26,82
4,Uttar Pradesh W,118.75,800,0,-1,0,0,95,28,80
4,West Bengal,71.96,800,0,-1,71.25,0,57.568,23,87
4,Andhra Pradesh,144.31,900,45,-25,136.15,0,721.55,16,80
4,Assam,20.42,900,50,19,20.42,0.81,102.1,26.2006043,92.9375739
4,Bihar,81.36,900,25,-6,80.56,0,406.8,25.11,85.32
4,Gujarat,146.71,900,25,-45,134.6,0,733.55,23,72
4,Haryana,27.68,900,25,-37,26.88,0,138.4,29.3,76
4,Himachal Pradesh,10.43,900,86,24,10.43,0.52,52.15,31.79,77.1
4,Karnataka,122.65,900,44,-26,111.5,0,613.25,15,75
4,Kerala,74.61,900,30,-32,73.88,0,373.05,10,76.25
4,Madhya Pradesh,61.9,900,50,-12,61.9,0,309.5,23.3,80
4,Maharashtra,151.56,900,35,-35,141.65,0,757.8,20,76
4,North East,5.85,900,0,-44,5.8,0,29.25,28,95
4,Odisha,28.91,900,6,-25,27.8,0,144.55,26,94.2
4,Punjab,67.43,900,51,-27,66.77,0,337.15,30.8,75.5
4,Rajasthan,78.36,900,0,-62,74.63,0,391.8,27,74
4,Uttar Pradesh E,88.14,900,25,-6,88.14,0,440.7,26,82
4,Uttar Pradesh W,105,900,25,-6,105,0,525,28,80
4,West Bengal,25.45,900,22,0,25.45,0.25,127.25,23,87
4,Andhra Pradesh,48.56,1800,19,0,48.56,0.48,242.8,16,80
4,Bihar,12.4,1800,0,-10,0,0,62,25.11,85.32
4,Gujarat,47.6,1800,0,-17,0,0,238,23,72
4,Haryana,6.4,1800,27,-13,6.4,0,32,29.3,76
4,Himachal Pradesh,1.8,1800,22,-29,1.8,0,9,31.79,77.1
4,Karnataka,37,1800,8,-1,37,0,185,15,75
4,Kerala,15,1800,0,-5,0,0,75,10,76.25
4,Kolkata,15.48,1800,25,-10,15.03,0,77.4,22.56263,88.36304
4,North East,2.2,1800,25,-17,2.2,0,11,28,95
4,Odisha,4.6,1800,75,-6,4.6,0,23,26,94.2
4,Punjab,14.34,1800,0,-8,14.2,0,71.7,30.8,75.5
4,Rajasthan,12,1800,25,-27,12,0,60,27,74
4,Tamil Nadu,45,1800,75,-20,45,0,225,11,78
4,Uttar Pradesh E,19.4,1800,0,-21,0,0,97,26,82
4,Uttar Pradesh W,19,1800,0,-11,0,0,95,28,80
4,Andhra Pradesh,1375,2100,0,-1,0,0,275,16,80
4,Assam,171.49,2100,1,0,171.49,1.71,34.298,26.2006043,92.9375739
4,Delhi,3315,2100,0,-1,0,0,663,28.38,77.12
4,Gujarat,1302.9,2100,0,-1,1290,0,260.58,23,72
4,Haryana,232.3,2100,0,-1,230,0,46.46,29.3,76
4,Karnataka,1626.1,2100,0,-1,1610,0,325.22,15,75
4,Kerala,594.45,2100,0,-1,588.57,0,118.89,10,76.25
4,Kolkata,583.74,2100,0,-1,577.97,0,116.748,22.56263,88.36304
4,Madhya Pradesh,461.31,2100,0,-1,456.75,0,92.262,23.3,80
4,Maharashtra,1520.05,2100,0,-1,1505,0,304.01,20,76
4,Mumbai,3245,2100,0,-1,0,0,649,19.07283,72.88261
4,North East,51.15,2100,1,0,51.15,0.51,10.23,29,95
4,Odisha,182.06,2100,0,-1,180.26,0,36.412,26,94.2
4,Rajasthan,596.29,2100,1,0,596.29,5.96,119.258,27,74
4,Tamil Nadu,1737.2,2100,0,-1,1720,0,347.44,11,78
4,Uttar Pradesh E,456.01,2100,0,-1,451.5,0,91.202,26,82
4,Uttar Pradesh W,520.15,2100,0,-1,515,0,104.03,28,80
5,Andhra Pradesh,366.25,800,12,7,366.25,25.63,293,16,80
5,Assam,36.05,800,12,1,36.05,0.36,28.84,26.2006043,92.9375739
5,Bihar,106.25,800,0,-4,0,0,85,25.11,85.32
5,Delhi,794.6,800,3,0,794.6,7.94,635.68,28.38,77.12
5,Gujarat,347.18,800,0,-2,343.75,0,277.744,23,72
5,Haryana,53.91,800,6,0,53.91,0.53,43.128,29.3,76
5,Himachal Pradesh,26.66,800,0,-7,24.46,0,21.328,31.79,77.1
5,Kashmir,36.05,800,2,-5,35.35,0,28.84,33.94,76.54
5,Karnataka,378.75,800,0,-1,0,0,303,15,75
5,Kolkata,183.75,800,0,-1,0,0,147,22.56263,88.36304
5,Madhya Pradesh,196.44,800,4,-1,196.44,0,157.152,23.3,80
5,Maharashtra,500.73,800,2,-1,500.73,0,400.584,20,76
5,Mumbai,747.46,800,0,-6,718.72,0,597.968,19.07283,72.88261
5,North East,14.15,800,12,1,14.15,0.14,11.32,28,95
5,Odisha,53.86,800,0,-6,51.3,0,43.088,26,94.2
5,Punjab,107.31,800,0,-3,106.25,0,85.848,30.8,75.5
5,Tamil Nadu,450,800,0,-1,0,0,360,11,78
5,Uttar Pradesh E,167.5,800,0,-3,0,0,134,26,82
5,Uttar Pradesh W,118.75,800,0,-1,0,0,95,28,80
5,West Bengal,71.96,800,0,-1,71.25,0,57.568,23,87
5,Andhra Pradesh,144.31,900,45,-25,136.15,0,721.55,16,80
5,Assam,22.29,900,6,-25,21.44,0,111.45,26.2006043,92.9375739
5,Bihar,81.36,900,25,-6,80.56,0,406.8,25.11,85.32
5,Gujarat,146.71,900,30,-40,134.6,0,733.55,23,72
5,Haryana,28.51,900,75,13,28.51,0.85,142.55,29.3,76
5,Himachal Pradesh,11.49,900,61,-1,11.49,0,57.45,31.79,77.1
5,Karnataka,122.65,900,44,-26,111.5,0,613.25,15,75
5,Kerala,74.61,900,30,-32,73.88,0,373.05,10,76.25
5,Madhya Pradesh,64.99,900,0,-62,61.9,0,324.95,23.3,80
5,Maharashtra,153.07,900,45,-25,151.56,0,765.35,20,76
5,North East,5.85,900,0,-44,5.8,0,29.25,28,95
5,Odisha,28.91,900,6,-25,27.8,0,144.55,26,94.2
5,Punjab,67.43,900,51,-27,66.77,0,337.15,30.8,75.5
5,Rajasthan,78.36,900,0,-62,74.63,0,391.8,27,74
5,Uttar Pradesh E,88.14,900,25,-6,88.14,0,440.7,26,82
5,Uttar Pradesh W,110.25,900,30,-1,110.25,0,551.25,28,80
5,West Bengal,27.24,900,22,0,27.24,0.27,136.2,23,87
5,Andhra Pradesh,49.04,1800,6,-13,48.56,0,245.2,16,80
5,Bihar,12.4,1800,0,-10,0,0,62,25.11,85.32
5,Gujarat,47.6,1800,0,-17,0,0,238,23,72
5,Haryana,6.4,1800,27,-13,6.4,0,32,29.3,76
5,Himachal Pradesh,1.8,1800,22,-29,1.8,0,9,31.79,77.1
5,Karnataka,37.37,1800,0,-9,37,0,186.85,15,75
5,Kerala,15,1800,0,-5,0,0,75,10,76.25
5,Kolkata,16.9,1800,59,24,16.9,0.84,84.5,22.56263,88.36304
5,North East,2.2,1800,25,-17,2.2,0,11,28,95
5,Odisha,4.6,1800,75,-6,4.6,0,23,26,94.2
5,Punjab,14.34,1800,0,-8,14.2,0,71.7,30.8,75.5
5,Rajasthan,12,1800,0,-52,12,0,60,27,74
5,Tamil Nadu,45,1800,78,-17,45,0,225,11,78
5,Uttar Pradesh E,19.4,1800,15,-6,19.4,0,97,26,82
5,Uttar Pradesh W,19,1800,0,-11,0,0,95,28,80
5,Andhra Pradesh,1375,2100,0,-1,0,0,275,16,80
5,Assam,174.93,2100,0,-1,173.2,0,34.986,26.2006043,92.9375739
5,Delhi,3315,2100,0,-1,0,0,663,28.38,77.12
5,Gujarat,1302.9,2100,0,-1,1290,0,260.58,23,72
5,Haryana,232.3,2100,0,-1,230,0,46.46,29.3,76
5,Karnataka,1626.1,2100,0,-1,1610,0,325.22,15,75
5,Kerala,594.45,2100,0,-1,588.57,0,118.89,10,76.25
5,Kolkata,583.74,2100,0,-1,577.97,0,116.748,22.56263,88.36304
5,Madhya Pradesh,461.31,2100,0,-1,456.75,0,92.262,23.3,80
5,Maharashtra,1520.05,2100,0,-1,1505,0,304.01,20,76
5,Mumbai,3245,2100,0,-1,0,0,649,19.07283,72.88261
5,North East,51.15,2100,1,-1,51.66,0,10.23,29,95
5,Odisha,182.06,2100,0,-1,180.26,0,36.412,26,94.2
5,Rajasthan,596.29,2100,1,-1,602.25,0,119.258,27,74
5,Tamil Nadu,1737.2,2100,0,-1,1720,0,347.44,11,78
5,Uttar Pradesh E,456.01,2100,0,-1,451.5,0,91.202,26,82
5,Uttar Pradesh W,520.15,2100,0,-1,515,0,104.03,28,80
6,Andhra Pradesh,419.31,800,0,-5,391.88,0,335.448,16,80
6,Assam,40.05,800,16,5,40.05,2,32.04,26.2006043,92.9375739
6,Bihar,106.25,800,0,-4,0,0,85,25.11,85.32
6,Delhi,851.4,800,1,-2,851.4,0,681.12,28.38,77.12
6,Gujarat,347.18,800,0,-2,343.75,0,277.744,23,72
6,Haryana,55.52,800,1,-5,54.98,0,44.416,29.3,76
6,Himachal Pradesh,26.66,800,0,-7,24.46,0,21.328,31.79,77.1
6,Kashmir,36.05,800,2,-5,35.35,0,28.84,33.94,76.54
6,Karnataka,378.75,800,0,-1,0,0,303,15,75
6,Kolkata,183.75,800,0,-1,0,0,147,22.56263,88.36304
6,Madhya Pradesh,204.29,800,8,3,204.29,6.12,163.432,23.3,80
6,Maharashtra,563.08,800,2,-1,563.08,0,450.464,20,76
6,Mumbai,747.46,800,4,-2,747.46,0,597.968,19.07283,72.88261
6,North East,15,800,4,-7,14.29,0,12,28,95
6,Odisha,53.86,800,0,-6,51.3,0,43.088,26,94.2
6,Punjab,107.31,800,8,5,107.31,5.36,85.848,30.8,75.5
6,Tamil Nadu,450,800,0,-1,0,0,360,11,78
6,Uttar Pradesh E,167.5,800,0,-3,0,0,134,26,82
6,Uttar Pradesh W,118.75,800,0,-1,0,0,95,28,80
6,West Bengal,71.96,800,0,-1,71.25,0,57.568,23,87
6,Andhra Pradesh,144.31,900,45,-25,136.15,0,721.55,16,80
6,Assam,23.64,900,50,19,23.64,0.94,118.2,26.2006043,92.9375739
6,Bihar,81.36,900,25,-6,80.56,0,406.8,25.11,85.32
6,Gujarat,146.71,900,30,-40,134.6,0,733.55,23,72
6,Haryana,30.24,900,26,-36,29.36,0,151.2,29.3,76
6,Himachal Pradesh,11.6,900,0,-62,11.49,0,58,31.79,77.1
6,Karnataka,122.65,900,44,-26,111.5,0,613.25,15,75
6,Kerala,74.61,900,30,-32,73.88,0,373.05,10,76.25
6,Madhya Pradesh,64.99,900,0,-62,61.9,0,324.95,23.3,80
6,Maharashtra,154.6,900,0,-70,153.07,0,773,20,76
6,North East,6.3,900,69,25,6.3,0.31,31.5,28,95
6,Odisha,28.91,900,6,-25,27.8,0,144.55,26,94.2
6,Punjab,72.15,900,89,11,72.15,2.16,360.75,30.8,75.5
6,Rajasthan,86.19,900,77,15,86.19,2.58,430.95,27,74
6,Uttar Pradesh E,88.14,900,26,-5,88.14,0,440.7,26,82
6,Uttar Pradesh W,110.25,900,30,-1,110.25,0,551.25,28,80
6,West Bengal,28.61,900,44,22,28.61,1.43,143.05,23,87
6,Andhra Pradesh,49.04,1800,6,-13,48.56,0,245.2,16,80
6,Bihar,12.4,1800,0,-10,0,0,62,25.11,85.32
